supplier_key,supplier_code,supplier_name,supplier_short_name,supplier_type,business_model,ownership_type,address_line1,address_line2,city,district,province,postal_code,country,phone_number,email,website,primary_contact_person,primary_contact_phone,primary_contact_email,delivery_lead_time_days,max_lead_time_days,delivery_method_default,delivery_frequency,delivery_cutoff_time,warehouse_location,supply_region,product_categories_supplied,brand_owned_flag,exclusive_supplier_flag,halal_certified_supplier,supplier_rating,quality_score,on_time_delivery_rate,defective_rate_percent,dispute_count,risk_level,compliance_status,payment_terms,contract_start_date,contract_end_date,minimum_order_quantity,return_policy_description,credit_limit_amount,effective_start_date,effective_end_date,is_current_record,version_number
11,SUP-0011,PT Danone Indonesia,Danone,principal,buy_out,multinational,Jl. Ir. H. Juanda No. 90,Menara Danone,Jakarta Pusat,Gambir,DKI Jakarta,10110,Indonesia,021-3456789,info@danone.co.id,https://www.danone.co.id,Lukas Prabowo,0812-8000-0011,lukas.prabowo@danone.co.id,3,5,Vendor Delivery,mingguan,11:30:00,DC Danone Cikarang,Jawa Barat,"air minum, susu, minuman kesehatan",false,false,true,93.40,93.90,97.00,0.80,2,low,compliant,Net 30,2010-01-01,2025-08-31,80,Retur mengikuti SLA kualitas produk yang disepakati,3800000000.00,2010-01-01,9999-12-31,true,1
12,SUP-0012,PT Kino Indonesia Tbk,Kino,principal,buy_out,local_private,Jl. Industri Raya No. 12,Kawasan Industri Kino,Tangerang,Jatiuwung,Banten,15133,Indonesia,021-5901234,cs@kino.co.id,https://www.kino.co.id,Retno Lestari,0812-8000-0012,retno.lestari@kino.co.id,4,6,Vendor Delivery,dua_mingguan,14:00:00,Gudang Kino Tangerang,Banten,"personal care, minuman, snack",false,false,true,88.90,89.70,93.20,2.10,11,medium,compliant,Net 21,2010-01-01,2029-01-31,60,Retur produk mismatch barcode dilakukan per faktur,1900000000.00,2010-01-01,9999-12-31,true,1
13,SUP-0013,PT Nutrifood Indonesia,Nutrifood,principal,buy_out,local_private,Jl. Raya Bogor Km 26,Kompleks Nutrifood,Jakarta Timur,Cijantung,DKI Jakarta,13770,Indonesia,021-8711234,info@nutrifood.co.id,https://www.nutrifood.co.id,Andri Wijaya,0812-8000-0013,andri.wijaya@nutrifood.co.id,3,5,Vendor Delivery,mingguan,13:00:00,Gudang Nutrifood Cibitung,Jawa Barat,"sereal, minuman rendah gula, suplemen",false,false,true,92.20,92.90,96.10,0.90,4,low,compliant,Net 21,2010-01-01,2027-09-30,50,Retur produk dekat kedaluwarsa berdasarkan program promo,2300000000.00,2010-01-01,9999-12-31,true,1
14,SUP-0014,PT Orang Tua Group,OT Group,principal,buy_out,local_private,Jl. Lingkar Luar Barat No. 8,Kawasan Industri OT,Jakarta Barat,Kembangan,DKI Jakarta,11610,Indonesia,021-5812345,cs@ot.id,https://www.ot.id,Putri Ayunda,0812-8000-0014,putri.ayunda@ot.id,4,7,Vendor Delivery,dua_mingguan,15:30:00,Gudang OT Cikande,Banten,"snack, minuman, permen",false,false,true,90.10,90.80,94.40,1.60,7,medium,compliant,Net 21,2010-01-01,2028-02-28,75,Retur produk promosi mengikuti ketentuan event,2600000000.00,2010-01-01,9999-12-31,true,1
15,SUP-0015,PT Siantar Top Tbk,Siantar Top,principal,buy_out,local_private,Jl. Tambak Sawah No. 21,Kawasan Industri Sidoarjo,Sidoarjo,Waru,Jawa Timur,61256,Indonesia,031-8431234,info@siantartop.co.id,https://www.siantartop.co.id,Surya Gunawan,0812-8000-0015,surya.gunawan@siantartop.co.id,5,7,Vendor Delivery,dua_mingguan,16:00:00,Gudang Siantar Top Sidoarjo,Jawa Timur,"snack ringan, keripik, wafer",false,false,true,89.30,90.00,93.50,2.00,10,medium,compliant,Net 14,2010-01-01,2030-04-30,90,Retur produk rusak pada saat display di toko ditinjau per kasus,1850000000.00,2010-01-01,9999-12-31,true,1
16,SUP-0016,PT Ajinomoto Indonesia,Ajinomoto,principal,buy_out,multinational,Jl. Laksda Yos Sudarso No. 77,Gedung Ajinomoto,Jakarta Utara,Koja,DKI Jakarta,14220,Indonesia,021-4401234,info@ajinomoto.co.id,https://www.ajinomoto.co.id,Hani Lestari,0812-8000-0016,hani.lestari@ajinomoto.co.id,3,5,Vendor Delivery,mingguan,11:00:00,Pabrik Ajinomoto Mojokerto,Jawa Timur,"bumbu masak, tepung bumbu, saus",false,false,true,93.80,94.20,97.10,0.70,3,low,compliant,Net 30,2010-01-01,2026-12-31,70,Retur produk salah kirim atau rusak di gudang distribusi,2750000000.00,2010-01-01,9999-12-31,true,1
17,SUP-0017,PT Japfa Comfeed Indonesia Tbk,Japfa,principal,buy_out,multinational,Jl. Raya Ancol Barat No. 1,Kantor Pusat Japfa,Jakarta Utara,Pademangan,DKI Jakarta,14430,Indonesia,021-6901234,contact@japfa.com,https://www.japfacomfeed.co.id,Bayu Saputra,0812-8000-0017,bayu.saputra@japfa.com,2,4,Vendor Delivery,mingguan,10:00:00,Gudang Japfa Cikarang,Jawa Barat,"produk olahan ayam, sosis, nugget",false,false,true,91.60,92.10,95.40,1.10,5,low,compliant,Net 21,2010-01-01,2028-08-31,60,Retur produk frozen mengikuti SOP cold chain,2400000000.00,2010-01-01,9999-12-31,true,1
18,SUP-0018,PT Charoen Pokphand Indonesia Tbk,CP Foods,principal,buy_out,multinational,Jl. Ancol Timur No. 8,Kompleks CP,Jakarta Utara,Pademangan,DKI Jakarta,14410,Indonesia,021-6911234,info@cp.co.id,https://www.cpfood.co.id,Farhan Maulana,0812-8000-0018,farhan.maulana@cp.co.id,2,4,Vendor Delivery,mingguan,10:30:00,Gudang CP Cikande,Banten,"sosis, nugget, ayam beku",false,false,true,92.70,93.10,96.20,0.90,3,low,compliant,Net 21,2010-01-01,2027-01-31,55,Retur thawed product dikaji oleh tim QA gabungan,2600000000.00,2010-01-01,9999-12-31,true,1
19,SUP-0019,PT Forisa Nusapersada,Forisa,principal,buy_out,local_private,Jl. Raya Bekasi Km 19,Kawasan Industri Pulogadung,Jakarta Timur,Cakung,DKI Jakarta,13920,Indonesia,021-4601234,cs@forisa.co.id,https://www.forisa.co.id,Nadia Fitria,0812-8000-0019,nadia.fitria@forisa.co.id,4,6,Vendor Delivery,dua_mingguan,14:30:00,Gudang Forisa Pulogadung,DKI Jakarta,"minuman serbuk, jelly, dessert",false,false,true,90.20,90.80,94.10,1.70,7,medium,compliant,Net 21,2010-01-01,2029-05-31,80,Retur mengikuti program promosi bundling dan display,1750000000.00,2010-01-01,9999-12-31,true,1
20,SUP-0020,PT Kapal Api Global,Kapal Api,principal,buy_out,local_private,Jl. Pabean No. 2,Pabrik Kapal Api,Surabaya,Pabean Cantian,Jawa Timur,60161,Indonesia,031-3531234,info@kapalapi.co.id,https://www.kapalapi.co.id,Rendra Haris,0812-8000-0020,rendra.haris@kapalapi.co.id,3,5,Vendor Delivery,mingguan,13:30:00,Gudang Kapal Api Sidoarjo,Jawa Timur,"kopi sachet, kopi bubuk",false,false,true,93.00,93.40,96.30,0.80,2,low,compliant,Net 21,2010-01-01,2025-10-31,50,Retur kemasan rusak sesuai berita acara dan foto bukti,2200000000.00,2010-01-01,9999-12-31,true,1
21,SUP-0021,PT Sosro Indonesia,Sosro,principal,buy_out,local_private,Jl. Raya Sultan Agung Km 28,Pabrik Sosro,Bekasi,Medan Satria,Jawa Barat,17132,Indonesia,021-88341234,cs@sosro.co.id,https://www.sosro.com,Mega Lestari,0812-8000-0021,mega.lestari@sosro.co.id,3,5,Vendor Delivery,mingguan,11:30:00,Gudang Sosro Bekasi,Jawa Barat,"teh siap minum, minuman botol",false,false,true,92.10,92.70,95.90,1.00,3,low,compliant,Net 21,2010-01-01,2026-07-31,70,Retur botol pecah dan kebocoran sesuai bukti penerimaan,2100000000.00,2010-01-01,9999-12-31,true,1
22,SUP-0022,PT Tempo Scan Pacific Tbk,Tempo Scan,principal,buy_out,multinational,Jl. HR Rasuna Said Kav 3-4,Tempo Scan Tower,Jakarta Selatan,Setiabudi,DKI Jakarta,12950,Indonesia,021-5221234,info@temposcan.co.id,https://www.temposcangroup.com,Michael Adrian,0812-8000-0022,michael.adrian@temposcan.co.id,2,4,Vendor Delivery,mingguan,10:00:00,Gudang Tempo Scan Cikarang,Jawa Barat,"OTC, personal care, vitamin",false,false,true,94.20,94.70,97.50,0.50,1,low,compliant,Net 30,2010-01-01,2024-03-31,45,Retur mengikuti prosedur farmasi dan regulasi nasional,3600000000.00,2010-01-01,9999-12-31,true,1
23,SUP-0023,PT Enesis Group,Enesis,principal,buy_out,local_private,Jl. Pulogadung No. 9,Kawasan Industri Enesis,Jakarta Timur,Cakung,DKI Jakarta,13930,Indonesia,021-46821234,cs@enesis.com,https://www.enesis.com,Sari Oktaviani,0812-8000-0023,sari.oktaviani@enesis.com,3,5,Vendor Delivery,mingguan,14:00:00,DC Enesis Pulogadung,DKI Jakarta,"minuman, anti nyamuk, kesehatan rumah",false,false,true,90.60,91.30,94.70,1.40,6,medium,compliant,Net 21,2010-01-01,2029-08-31,65,Retur produk rusak di rak sesuai foto dan laporan toko,1700000000.00,2010-01-01,9999-12-31,true,1
24,SUP-0024,PT Frisian Flag Indonesia,Frisian Flag,principal,buy_out,multinational,Jl. Raya Bogor Km 5,Pabrik Frisian Flag,Jakarta Timur,Kramat Jati,DKI Jakarta,13570,Indonesia,021-8001234,info@frisianflag.com,https://www.frisianflag.com,Wiwin Pratiwi,0812-8000-0024,wiwin.pratiwi@frisianflag.com,3,5,Vendor Delivery,mingguan,12:00:00,DC Frisian Flag Cikarang,Jawa Barat,"susu kental manis, susu bubuk",false,false,true,93.30,93.80,96.60,0.80,2,low,compliant,Net 21,2010-01-01,2025-06-30,70,Retur produk bocor atau dent mengikuti SLA tertulis,2800000000.00,2010-01-01,9999-12-31,true,1
25,SUP-0025,PT Sarihusada Generasi Mahardhika,Sarihusada,principal,buy_out,multinational,Jl. Kusumanegara No. 173,Head Office Sarihusada,Yogyakarta,Umbulharjo,DI Yogyakarta,55165,Indonesia,0274-376200,cs@sarihusada.co.id,https://www.sarihusada.co.id,Adi Nugroho,0812-8000-0025,adi.nugroho@sarihusada.co.id,4,6,Vendor Delivery,dua_mingguan,13:30:00,Gudang Sarihusada Klaten,Jawa Tengah,"susu anak, nutrisi bayi",false,false,true,92.80,93.30,96.10,0.90,3,low,compliant,Net 30,2010-01-01,2026-02-28,40,Retur mengikuti aturan khusus kategori infant nutrition,3000000000.00,2010-01-01,9999-12-31,true,1
26,SUP-0026,PT Bogasari Flour Mills,Bogasari,principal,buy_out,local_private,Jl. Raya Cilincing No. 1,Pabrik Bogasari,Jakarta Utara,Cilincing,DKI Jakarta,14110,Indonesia,021-4402345,info@bogasari.com,https://www.bogasari.com,Teguh Santoso,0812-8000-0026,teguh.santoso@bogasari.com,5,7,Vendor Delivery,dua_mingguan,16:00:00,Gudang Bogasari Cilegon,Banten,"tepung terigu, bahan baku bakery",false,false,true,89.80,90.40,93.90,1.80,8,medium,compliant,Net 21,2010-01-01,2028-10-31,100,Retur karena serangga atau kontaminasi ditangani segera,2600000000.00,2010-01-01,9999-12-31,true,1
27,SUP-0027,PT Wingsfood,Wingsfood,principal,buy_out,local_private,Jl. Gatot Subroto No. 5,Kantor Pusat Wingsfood,Tangerang,Jatiuwung,Banten,15137,Indonesia,021-5905678,cs@wingsfood.co.id,https://www.wingsfood.co.id,Veronika Sari,0812-8000-0027,veronika.sari@wingsfood.co.id,4,6,Vendor Delivery,dua_mingguan,15:00:00,Gudang Wingsfood Tangerang,Banten,"mie instan, snack, minuman",false,false,true,90.00,90.70,94.30,1.70,7,medium,compliant,Net 21,2010-01-01,2029-03-31,90,Retur kemasan rusak di gudang alfamart sesuai SLA,2400000000.00,2010-01-01,9999-12-31,true,1
28,SUP-0028,PT ABC President Indonesia,ABC President,principal,buy_out,multinational,Jl. Raya Jakarta Bogor Km 26,Pabrik ABC President,Bogor,Cibinong,Jawa Barat,16911,Indonesia,021-8791234,info@abcpresident.co.id,https://www.abcpresident.co.id,Rama Julianto,0812-8000-0028,rama.julianto@abcpresident.co.id,3,5,Vendor Delivery,mingguan,11:00:00,Gudang ABC President Bogor,Jawa Barat,"mie instan cup, minuman siap saji",false,false,true,91.40,92.00,95.20,1.10,4,low,compliant,Net 21,2010-01-01,2027-12-31,70,Retur produk near expired sesuai program display,2200000000.00,2010-01-01,9999-12-31,true,1
29,SUP-0029,PT Multi Bintang Indonesia Tbk,Multi Bintang,principal,buy_out,multinational,Jl. Daan Mogot Km 12,Pabrik Multi Bintang,Jakarta Barat,Kalideres,DKI Jakarta,11840,Indonesia,021-5451234,info@multibintang.co.id,https://www.multibintang.co.id,Rudi Hartono,0812-8000-0029,rudi.hartono@multibintang.co.id,4,6,Vendor Delivery,dua_mingguan,14:30:00,Gudang Multi Bintang Tangerang,Banten,"minuman malt, minuman non alkohol",false,false,true,90.50,91.10,94.60,1.60,6,medium,compliant,Net 30,2010-01-01,2028-01-31,80,Retur botol pecah dan kontaminasi fisik ditangani cepat,2100000000.00,2010-01-01,9999-12-31,true,1
30,SUP-0030,PT Heinz ABC Indonesia,Heinz ABC,principal,buy_out,multinational,Jl. Jend. Sudirman No. 52,Kantor Heinz ABC,Jakarta Pusat,Tanah Abang,DKI Jakarta,10210,Indonesia,021-57901234,cs@heinzabc.co.id,https://www.heinzabc.co.id,Lina Widjaja,0812-8000-0030,lina.widjaja@heinzabc.co.id,3,5,Vendor Delivery,mingguan,13:00:00,Gudang Heinz ABC Bekasi,Jawa Barat,"saus, sirup, kecap",false,false,true,92.60,93.10,96.00,0.90,3,low,compliant,Net 21,2010-01-01,2026-09-30,60,Retur kebocoran botol dan segel rusak dengan berita acara,2300000000.00,2010-01-01,9999-12-31,true,1
31,SUP-0031,PT Paragon Technology and Innovation,Paragon,principal,buy_out,local_private,Jl. Industri Raya No. 20,Kawasan Industri Paragon,Tangerang,Cikupa,Banten,15710,Indonesia,021-5909876,info@pti-cosmetics.com,https://www.paragon-innovation.com,Sinta Maharani,0812-8000-0031,sinta.maharani@paragon.com,4,6,Vendor Delivery,dua_mingguan,14:00:00,Gudang Paragon Tangerang,Banten,"kosmetik, skincare",false,false,true,93.90,94.30,97.10,0.70,2,low,compliant,Net 30,2010-01-01,2028-07-31,50,Retur produk rusak mengikuti kebijakan brand premium,2500000000.00,2010-01-01,9999-12-31,true,1
32,SUP-0032,PT Martina Berto Tbk,Martina Berto,principal,buy_out,local_private,Jl. Pulo Kambing II No. 1,Kawasan Industri Pulogadung,Jakarta Timur,Cakung,DKI Jakarta,13930,Indonesia,021-4609876,cs@martinaberto.co.id,https://www.martinaberto.co.id,Yuliana Puspita,0812-8000-0032,yuliana.puspita@martinaberto.co.id,5,7,Vendor Delivery,dua_mingguan,16:00:00,Gudang Martina Berto Pulogadung,DKI Jakarta,"kosmetik, jamu kecantikan",false,false,true,89.90,90.60,94.00,1.90,8,medium,compliant,Net 21,2010-01-01,2029-12-31,60,Retur sesuai hasil inspeksi kualitas bersama tim QA,1800000000.00,2010-01-01,9999-12-31,true,1
33,SUP-0033,PT Mustika Ratu Tbk,Mustika Ratu,principal,buy_out,local_private,Jl. Gatot Subroto No. 74,Kantor Mustika Ratu,Jakarta Selatan,Pancoran,DKI Jakarta,12780,Indonesia,021-8311234,info@mustika-ratu.co.id,https://www.mustika-ratu.co.id,Imelda Sari,0812-8000-0033,imelda.sari@mustikaratu.co.id,5,7,Vendor Delivery,dua_mingguan,15:30:00,Gudang Mustika Ratu Cikarang,Jawa Barat,"jamu, kosmetik tradisional",false,false,true,90.30,91.00,94.30,1.70,7,medium,compliant,Net 21,2010-01-01,2028-04-30,50,Retur produk slow moving dibahas pada review tahunan,1600000000.00,2010-01-01,9999-12-31,true,1
34,SUP-0034,PT Mandom Indonesia Tbk,Mandom,principal,buy_out,multinational,Jl. Irian Blok DD 1,MM2100 Industrial Town,Bekasi,Cikarang Barat,Jawa Barat,17520,Indonesia,021-89801234,cs@mandom.co.id,https://www.mandom.co.id,Tono Wijaya,0812-8000-0034,tono.wijaya@mandom.co.id,3,5,Vendor Delivery,mingguan,11:30:00,Gudang Mandom MM2100,Jawa Barat,"deodoran, parfum, hair styling",false,false,true,93.10,93.60,96.40,0.90,3,low,compliant,Net 21,2010-01-01,2026-01-31,55,Retur kemasan rusak dan tutup pecah sesuai laporan toko,2100000000.00,2010-01-01,9999-12-31,true,1
35,SUP-0035,PT Johnson & Johnson Indonesia,J&J,principal,buy_out,multinational,Jl. Gatot Subroto No. 28,Kantor Johnson,Jakarta Selatan,Setiabudi,DKI Jakarta,12950,Indonesia,021-52890000,info@jnj.co.id,https://www.jnj.co.id,Fanny Oktavia,0812-8000-0035,fanny.oktavia@jnj.co.id,2,4,Vendor Delivery,mingguan,10:00:00,Gudang J&J Bekasi,Jawa Barat,"baby care, personal care, health",false,false,true,94.50,94.90,97.80,0.50,1,low,compliant,Net 30,2010-01-01,2025-12-31,40,Retur mengikuti kebijakan global produk kesehatan,3200000000.00,2010-01-01,9999-12-31,true,1
36,SUP-0036,PT Reckitt Benckiser Indonesia,Reckitt,principal,buy_out,multinational,Jl. Rawa Terate II No. 8,Kawasan Industri Pulogadung,Jakarta Timur,Cakung,DKI Jakarta,13920,Indonesia,021-46891234,cs@reckitt.co.id,https://www.reckitt.com,Galih Saputra,0812-8000-0036,galih.saputra@reckitt.co.id,3,5,Vendor Delivery,mingguan,11:00:00,DC Reckitt Pulogadung,DKI Jakarta,"home care, health, hygiene",false,false,true,93.70,94.10,97.10,0.80,2,low,compliant,Net 30,2010-01-01,2026-10-31,50,Retur produk rusak dan recall mengikuti SOP global,3000000000.00,2010-01-01,9999-12-31,true,1
37,SUP-0037,PT Colgate Palmolive Indonesia,Colgate,principal,buy_out,multinational,Jl. Rungkut Industri III No. 23,Pabrik Colgate,Surabaya,Rungkut,Jawa Timur,60293,Indonesia,031-8435678,info@colgate.co.id,https://www.colgatepalmolive.co.id,Nanda Kurnia,0812-8000-0037,nanda.kurnia@colgate.co.id,3,5,Vendor Delivery,mingguan,12:00:00,Gudang Colgate Surabaya,Jawa Timur,"pasta gigi, sikat gigi, personal care",false,false,true,92.90,93.40,96.30,0.90,3,low,compliant,Net 21,2010-01-01,2027-03-31,60,Retur mengikuti standar kualitas personal care internasional,2600000000.00,2010-01-01,9999-12-31,true,1
38,SUP-0038,PT PZ Cussons Indonesia,PZ Cussons,principal,buy_out,multinational,Jl. Raya Bogor Km 25,Pabrik PZ Cussons,Jakarta Timur,Cijantung,DKI Jakarta,13770,Indonesia,021-8716789,cs@pzcussons.co.id,https://www.pzcussons.com,Rika Anggraeni,0812-8000-0038,rika.anggraeni@pzcussons.co.id,4,6,Vendor Delivery,dua_mingguan,14:00:00,Gudang PZ Cussons Depok,Jawa Barat,"baby care, personal care",false,false,true,91.20,91.80,95.00,1.20,5,low,compliant,Net 21,2010-01-01,2028-05-31,60,Retur produk kemasan bocor ditangani per kasus,2100000000.00,2010-01-01,9999-12-31,true,1
39,SUP-0039,PT Softex Indonesia,Softex,principal,buy_out,multinational,Jl. Raya Bogor Km 26,Kawasan Industri Softex,Jakarta Timur,Ciracas,DKI Jakarta,13740,Indonesia,021-8713456,info@softexindonesia.com,https://www.softexindonesia.com,Yohana Tania,0812-8000-0039,yohana.tania@softex.co.id,3,5,Vendor Delivery,mingguan,13:00:00,Gudang Softex Karawang,Jawa Barat,"pembalut, popok, tissue",false,false,true,93.00,93.50,96.40,0.90,3,low,compliant,Net 21,2010-01-01,2026-08-31,70,Retur produk cacat mengikuti regulasi hygiene,2800000000.00,2010-01-01,9999-12-31,true,1
40,SUP-0040,PT Eka Jaya Internasional,Eka Jaya,distributor,buy_out,local_private,Jl. Raya Bekasi Timur No. 88,Gudang Utama,Bekasi,Bekasi Timur,Jawa Barat,17113,Indonesia,021-8834567,sales@ekajaya.co.id,https://www.ekajaya-distributor.co.id,Agnes Lestari,0812-8000-0040,agnes.lestari@ekajaya.co.id,2,4,Vendor Delivery,harian,09:00:00,Gudang Eka Jaya Bekasi,Jawa Barat,"mixed FMCG, general trade",false,false,true,88.50,89.20,92.80,2.20,12,medium,compliant,COD,2010-01-01,2030-12-31,40,Retur mengacu pada kesepakatan per kategori produk,900000000.00,2010-01-01,9999-12-31,true,1
