promotion_key,promotion_code,promotion_name,promotion_type,promotion_category,promotion_description,discount_percent,discount_amount,maximum_discount_amount,cashback_amount,cashback_percent,is_free_shipping,free_shipping_limit_amount,min_purchase_amount,min_quantity_required,is_stackable,target_customer_type,eligible_store_type,eligible_channel,eligible_payment_method,eligible_product_category,start_date,end_date,start_time,end_time,valid_days_of_week,valid_hours_range,is_active,promo_owner_department,is_supplier_funded,budget_amount,budget_remaining,kpi_target,effective_start_date,effective_end_date,is_current_record,version_number
11,PRM_MEMBER_GROC_2015_001,Diskon Khusus Member Groceries,percent,loyalty,Diskon tetap untuk pemegang kartu member pada kategori groceries.,5.00,0.00,999999.99,0.00,0.00,false,0.00,0.00,0,true,member,store,store,ALL,Groceries,2015-01-01,2017-12-31,08:00:00,22:00:00,"MON,TUE,WED,THU,FRI,SAT,SUN",08:00-22:00,false,marketing,false,300000000.00,0.00,450000000.00,2015-01-01,9999-12-31,true,1
12,PRM_MEMBER_SNACK_2018_001,Diskon Member Snack,percent,loyalty,Diskon tambahan untuk member pada produk snack dan confectionery.,7.50,0.00,30000.00,0.00,0.00,false,0.00,0.00,0,true,member,store,store,ALL,"Snack Ringan,Biskuit",2018-05-01,2020-12-31,08:00:00,22:00:00,"MON,TUE,WED,THU,FRI,SAT,SUN",08:00-22:00,false,marketing,false,220000000.00,0.00,320000000.00,2018-05-01,9999-12-31,true,1
13,PRM_BANKDEBIT_2019_001,Promo Debit Bank Partner,percent,voucher,Diskon khusus pembayaran dengan kartu debit bank partner tertentu.,10.00,0.00,50000.00,0.00,0.00,false,0.00,200000.00,0,false,all,store,store,DEBIT,All Category,2019-07-01,2019-09-30,09:00:00,21:00:00,"FRI,SAT,SUN",09:00-21:00,false,marketing,false,140000000.00,0.00,210000000.00,2019-07-01,9999-12-31,true,1
14,PRM_BANKCREDIT_2020_001,Promo Credit Card Hemat,percent,voucher,Diskon pembayaran dengan kartu kredit bank partner dengan minimum transaksi tertentu.,15.00,0.00,100000.00,0.00,0.00,false,0.00,300000.00,0,false,all,store,store,CREDIT,All Category,2020-08-01,2020-12-31,09:00:00,21:00:00,"FRI,SAT,SUN",09:00-21:00,false,marketing,false,180000000.00,0.00,260000000.00,2020-08-01,9999-12-31,true,1
15,PRM_ONLINE_MILK_2021_001,Diskon Susu Online,percent,price_off,Diskon pembelian susu pertumbuhan melalui aplikasi.,12.00,0.00,60000.00,0.00,0.00,false,0.00,150000.00,0,true,all,online_only,app,ALL,Susu dan Olahan,2021-06-01,2021-09-30,09:00:00,21:00:00,"MON,TUE,WED,THU,FRI,SAT,SUN",09:00-21:00,false,trade_marketing,true,160000000.00,0.00,230000000.00,2021-06-01,9999-12-31,true,1
16,PRM_BUNDLE_HOME_2014_001,Bundle Home Care Hemat,bundle,price_off,Bundle deterjen dan pewangi pakaian dengan harga paket.,0.00,7500.00,0.00,0.00,0.00,false,0.00,0.00,2,false,all,store,store,ALL,"Deterjen,Pelembut Pakaian",2014-09-01,2014-11-30,08:00:00,22:00:00,"MON,TUE,WED,THU,FRI,SAT,SUN",08:00-22:00,false,trade_marketing,true,55000000.00,0.00,85000000.00,2014-09-01,9999-12-31,true,1
17,PRM_B2G1_DRINK_2018_001,Beli 2 Gratis 1 Minuman Botol,bundle,price_off,Promo beli dua gratis satu untuk minuman botol ukuran kecil.,0.00,8000.00,0.00,0.00,0.00,false,0.00,0.00,3,false,all,store,store,ALL,"Minuman Non Karbonasi,Minuman Karbonasi",2018-09-01,2018-10-31,08:00:00,22:00:00,"MON,TUE,WED,THU,FRI,SAT,SUN",08:00-22:00,false,trade_marketing,true,70000000.00,0.00,100000000.00,2018-09-01,9999-12-31,true,1
18,PRM_BREAKFAST_2019_001,Promo Sarapan Pagi,percent,price_off,"Diskon khusus jam pagi untuk roti, susu kecil, dan kopi sachet.",10.00,0.00,20000.00,0.00,0.00,false,0.00,0.00,0,false,all,store,store,ALL,"Roti,Susu dan Olahan,Kopi dan Teh",2019-02-01,2019-06-30,06:00:00,10:00:00,"MON,TUE,WED,THU,FRI",06:00-10:00,false,marketing,false,50000000.00,0.00,80000000.00,2019-02-01,9999-12-31,true,1
19,PRM_LATE_NIGHT_2020_001,Late Night Snack Promo,percent,price_off,Diskon snack dan minuman ringan pada jam malam di gerai 24 jam.,12.00,0.00,30000.00,0.00,0.00,false,0.00,0.00,0,true,all,store,store,ALL,"Snack Ringan,Minuman Karbonasi",2020-09-01,2020-12-31,21:00:00,23:59:59,"FRI,SAT",21:00-23:59,false,marketing,false,40000000.00,0.00,70000000.00,2020-09-01,9999-12-31,true,1
20,PRM_BABY_FAIR_2021_001,Baby Fair Hemat,percent,price_off,"Promo baby fair untuk popok, susu bayi, dan produk perawatan bayi.",15.00,0.00,100000.00,0.00,0.00,false,0.00,250000.00,0,false,all,store,store,ALL,"Popok Bayi,Susu dan Olahan,Baby Care",2021-03-01,2021-03-31,08:00:00,22:00:00,"MON,TUE,WED,THU,FRI,SAT,SUN",08:00-22:00,false,trade_marketing,true,200000000.00,0.00,300000000.00,2021-03-01,9999-12-31,true,1
21,PRM_RAMADAN_2018_001,Paket Hemat Ramadan,bundle,price_off,Paket sembako dan sirup dengan harga khusus selama Ramadan.,0.00,25000.00,0.00,0.00,0.00,false,0.00,0.00,1,false,all,store,store,ALL,"Sembako,Sirup,Susu dan Olahan",2018-05-01,2018-06-14,08:00:00,23:00:00,"MON,TUE,WED,THU,FRI,SAT,SUN",08:00-23:00,false,trade_marketing,true,250000000.00,0.00,350000000.00,2018-05-01,9999-12-31,true,1
22,PRM_LEBARAN_2019_001,Parcel Lebaran Spesial,percent,price_off,Diskon pembelian parcel Lebaran berbagai ukuran.,10.00,0.00,50000.00,0.00,0.00,false,0.00,150000.00,0,false,all,store,store,ALL,Parcel Lebaran,2019-04-15,2019-06-05,08:00:00,22:00:00,"MON,TUE,WED,THU,FRI,SAT,SUN",08:00-22:00,false,marketing,false,180000000.00,0.00,260000000.00,2019-04-15,9999-12-31,true,1
23,PRM_BTS_2017_001,Back To School Stationery,percent,price_off,Diskon perlengkapan sekolah dan alat tulis menjelang tahun ajaran baru.,20.00,0.00,40000.00,0.00,0.00,false,0.00,50000.00,0,false,all,store,store,ALL,"Stationery,ATK",2017-06-01,2017-07-31,08:00:00,22:00:00,"MON,TUE,WED,THU,FRI,SAT,SUN",08:00-22:00,false,marketing,false,60000000.00,0.00,90000000.00,2017-06-01,9999-12-31,true,1
24,PRM_FLASH_EWALLET_2022_001,Flash Sale Ewallet,percent,voucher,Diskon besar dalam periode singkat untuk pembayaran ewallet tertentu.,30.00,0.00,40000.00,0.00,0.00,false,0.00,50000.00,0,false,all,online_only,app,"OVO,DANA,SHOPEEPAY",All Category,2022-11-11,2022-11-11,12:00:00,23:00:00,FRI,12:00-23:00,false,marketing,true,90000000.00,0.00,140000000.00,2022-11-11,9999-12-31,true,1
25,PRM_JSM_2025_001,JSM Hemat Kebutuhan Rumah Tangga,percent,price_off,Promo JSM aktif untuk kebutuhan rumah tangga dan groceries.,10.00,0.00,60000.00,0.00,0.00,false,0.00,100000.00,0,true,all,store,store,ALL,"Groceries,Home Care",2025-11-07,2025-12-31,08:00:00,23:00:00,"FRI,SAT,SUN",08:00-23:00,true,trade_marketing,true,220000000.00,150000000.00,320000000.00,2025-11-07,9999-12-31,true,1
